x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
9,8,18,16,17,20,14,14,5,3
9,8,9,14,12,10,12,11,10,12
9,12,14,12,1,4,4,5,4,7
9,18,15,11,10,8,11,11,2,4
9,13,14,14,13,14,11,10,12,20
9,9,11,12,10,8,12,10,14,12
9,11,13,14,11,13,14,14,3,2
9,8,10,8,9,21,20,28,27,28
9,11,12,11,13,11,10,10,8,10
9,12,12,14,14,12,21,12,10,11
9,11,8,10,12,21,19,10,11,1
9,12,14,10,10,9,11,13,5,3
9,12,9,12,10,13,14,14,4,7
9,8,10,7,5,4,2,4,3,5
9,12,11,12,18,8,9,8,9,10
9,10,12,13,10,13,10,5,2,1
9,10,8,10,11,13,11,14,14,14
9,4,2,1,2,7,1,4,6,7
9,4,7,5,4,1,3,5,3,1
9,9,2,1,3,4,2,5,7,7
9,12,9,10,14,14,12,7,7,7
9,11,9,9,9,17,21,21,19,11
9,10,12,9,11,14,14,13,7,7
9,10,14,14,12,13,11,13,14,14
9,8,9,10,8,9,10,8,13,9
9,10,9,10,11,9,9,11,14,13
9,9,9,11,9,11,12,11,10,15
9,14,13,12,14,14,14,14,14,13
9,11,21,21,21,28,26,27,35,33
9,9,4,2,2,7,7,7,7,7
9,12,11,9,1,2,3,1,3,6
9,18,14,14,13,14,6,7,7,4
9,9,9,12,14,12,14,10,12,21
9,10,12,14,14,12,11,12,14,13
9,10,12,14,14,2,4,1,4,5
9,15,25,27,28,28,33,28,28,27
9,9,10,3,2,3,2,1,4,1
9,4,5,2,3,1,4,3,4,6
9,10,8,10,1,4,5,6,7,7
9,11,14,11,9,13,14,14,20,19
9,12,11,8,10,12,13,10,11,10
9,9,8,11,13,11,9,9,13,14
9,6,7,7,7,7,6,5,4,1
9,11,14,13,14,14,11,14,5,4
9,2,1,2,1,2,7,7,6,7
9,10,5,6,7,5,3,1,2,5
9,10,16,16,16,20,18,20,9,8
9,12,14,13,14,14,13,14,4,6
9,9,9,10,9,11,14,13,14,14
9,15,27,24,22,24,28,28,27,28
9,10,11,12,11,13,11,9,10,9
9,11,12,10,15,17,19,28,21,16
9,10,11,5,2,3,5,7,7,5
9,11,5,7,7,5,6,5,6,5
9,10,14,13,14,6,7,7,3,2
9,10,12,14,14,9,12,14,14,14
9,11,2,3,5,1,4,3,5,3
9,9,13,5,1,5,4,2,6,7
9,17,23,23,24,25,24,23,25,29
9,12,21,28,31,35,35,41,39,33
9,16,16,17,12,11,12,3,1,4
9,18,20,14,14,14,14,19,14,14
9,10,9,11,10,14,2,3,1,2
9,11,2,2,5,7,7,7,5,6
9,8,9,3,4,5,4,1,3,6
9,9,3,4,7,7,7,4,1,2
9,9,16,27,35,27,35,35,35,34
9,8,2,4,1,3,1,4,7,2
9,10,2,4,3,2,4,7,5,3
9,10,1,7,5,3,3,5,4,5
9,10,9,9,2,3,1,4,3,6
9,12,3,4,2,3,6,7,5,4
9,8,12,10,8,11,12,7,7,6
9,11,9,11,14,14,14,12,13,12
9,4,2,3,5,7,5,3,4,7
9,4,3,2,1,2,3,7,4,1
9,4,7,6,5,7,6,7,7,5
9,9,1,2,1,3,6,7,6,4
9,11,13,14,14,13,9,10,12,14
9,19,14,12,14,11,13,14,14,14
9,12,10,10,5,7,7,7,7,7
9,8,10,8,16,8,9,10,13,11
9,17,23,23,20,14,14,19,20,24
9,11,9,10,6,7,7,7,7,7
9,11,12,9,18,15,23,24,23,23
9,11,8,3,1,7,7,7,7,6
9,9,2,3,5,2,4,6,5,7
9,11,9,11,12,10,17,17,19,18
9,11,13,14,12,14,14,12,11,13
9,10,12,21,25,33,35,33,34,33
9,2,4,2,2,6,3,4,6,3
9,12,14,5,3,5,6,7,7,7
9,10,8,9,11,16,18,16,26,35
9,8,2,1,6,5,7,7,6,1
9,9,12,13,14,14,14,14,9,11
9,9,9,9,11,9,10,9,10,12
9,12,20,19,24,29,30,29,31,33
9,10,9,9,8,18,21,16,18,14
9,10,11,9,13,19,24,28,21,18
9,10,14,14,14,10,8,13,14,14
9,18,20,14,14,14,13,14,14,11
9,13,11,10,16,20,18,9,9,10
9,10,13,14,21,14,11,10,13,14
9,1,2,1,3,2,1,4,4,6
9,9,14,14,14,14,7,7,7,7
9,15,18,19,20,28,26,27,24,23
9,2,4,6,2,2,4,3,5,7
9,10,14,14,14,14,12,14,5,3
9,12,9,11,9,3,1,3,2,4
9,9,4,3,2,6,4,2,4,6
9,8,14,14,8,10,15,17,18,20
9,14,14,21,21,11,14,12,11,15
9,12,14,14,14,14,4,2,5,2
9,13,10,12,3,1,3,4,2,3
9,13,14,7,4,7,7,7,7,7
9,8,10,9,12,7,7,6,7,3
9,14,14,21,20,14,12,13,14,14
9,9,12,11,10,8,11,3,2,5
9,9,11,14,12,10,4,7,7,7
9,12,14,9,11,8,10,12,8,10
9,9,11,3,5,6,4,3,1,6
9,9,8,17,16,22,25,26,21,14
9,12,11,13,7,5,7,7,7,5
9,11,13,14,14,12,14,14,11,13
9,9,9,10,8,11,13,10,9,4
9,8,2,3,1,3,2,3,4,3
9,1,3,6,7,7,5,7,5,7
9,12,14,13,14,14,14,13,14,14
9,12,14,21,28,26,23,26,22,27
9,10,5,4,2,7,7,6,4,7
9,10,21,24,29,23,25,30,33,30
9,10,9,10,5,7,7,7,7,7
9,11,12,14,14,13,14,14,14,6
9,10,11,9,8,11,13,21,20,21
9,9,11,10,16,19,18,21,21,21
9,6,7,7,5,3,5,7,7,6
9,10,13,14,14,14,14,12,9,8
9,9,14,5,2,3,1,3,4,5
9,10,11,14,14,14,14,21,21,26
9,9,14,20,11,12,9,8,11,9
9,4,7,7,4,5,7,5,7,2
9,10,15,17,18,20,12,14,9,9
9,13,14,14,12,11,10,8,9,11
9,11,8,18,17,15,16,9,13,14
9,4,3,5,6,4,6,7,7,4
9,11,12,11,16,10,13,14,6,5
9,9,10,9,10,13,7,4,2,5
9,9,12,11,14,14,12,9,8,11
9,10,12,14,12,13,14,9,12,11
